Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation,cs_Translation,da_Translation,nl_Translation,en_Translation,et_Translation
,,,"""I am a magnet for positive relationships, deep and meaningful.""",positive ,,"Translated: ""I am a magnet for positive relationships, deep and meaningful."" to bg","Translated: ""I am a magnet for positive relationships, deep and meaningful."" to hr","Translated: ""I am a magnet for positive relationships, deep and meaningful."" to cs","Translated: ""I am a magnet for positive relationships, deep and meaningful."" to da","Translated: ""I am a magnet for positive relationships, deep and meaningful."" to nl","Translated: ""I am a magnet for positive relationships, deep and meaningful."" to en","Translated: ""I am a magnet for positive relationships, deep and meaningful."" to et"
,,,"""I am a vessel of light, bringing brightness wherever I go.""",positive ,,"Translated: ""I am a vessel of light, bringing brightness wherever I go."" to bg","Translated: ""I am a vessel of light, bringing brightness wherever I go."" to hr","Translated: ""I am a vessel of light, bringing brightness wherever I go."" to cs","Translated: ""I am a vessel of light, bringing brightness wherever I go."" to da","Translated: ""I am a vessel of light, bringing brightness wherever I go."" to nl","Translated: ""I am a vessel of light, bringing brightness wherever I go."" to en","Translated: ""I am a vessel of light, bringing brightness wherever I go."" to et"
,,,"""Every day is a gift, and I cherish the beauty it unfolds.""",positive ,,"Translated: ""Every day is a gift, and I cherish the beauty it unfolds."" to bg","Translated: ""Every day is a gift, and I cherish the beauty it unfolds."" to hr","Translated: ""Every day is a gift, and I cherish the beauty it unfolds."" to cs","Translated: ""Every day is a gift, and I cherish the beauty it unfolds."" to da","Translated: ""Every day is a gift, and I cherish the beauty it unfolds."" to nl","Translated: ""Every day is a gift, and I cherish the beauty it unfolds."" to en","Translated: ""Every day is a gift, and I cherish the beauty it unfolds."" to et"
,,,"""I am a magnet for success, and I attract it effortlessly.""",positive ,,"Translated: ""I am a magnet for success, and I attract it effortlessly."" to bg","Translated: ""I am a magnet for success, and I attract it effortlessly."" to hr","Translated: ""I am a magnet for success, and I attract it effortlessly."" to cs","Translated: ""I am a magnet for success, and I attract it effortlessly."" to da","Translated: ""I am a magnet for success, and I attract it effortlessly."" to nl","Translated: ""I am a magnet for success, and I attract it effortlessly."" to en","Translated: ""I am a magnet for success, and I attract it effortlessly."" to et"
,,,"""I am open to the abundance of the universe, and I receive it.""",positive ,,"Translated: ""I am open to the abundance of the universe, and I receive it."" to bg","Translated: ""I am open to the abundance of the universe, and I receive it."" to hr","Translated: ""I am open to the abundance of the universe, and I receive it."" to cs","Translated: ""I am open to the abundance of the universe, and I receive it."" to da","Translated: ""I am open to the abundance of the universe, and I receive it."" to nl","Translated: ""I am open to the abundance of the universe, and I receive it."" to en","Translated: ""I am open to the abundance of the universe, and I receive it."" to et"
,,,"""I am a beacon of courage, facing challenges with strength.""",positive ,,"Translated: ""I am a beacon of courage, facing challenges with strength."" to bg","Translated: ""I am a beacon of courage, facing challenges with strength."" to hr","Translated: ""I am a beacon of courage, facing challenges with strength."" to cs","Translated: ""I am a beacon of courage, facing challenges with strength."" to da","Translated: ""I am a beacon of courage, facing challenges with strength."" to nl","Translated: ""I am a beacon of courage, facing challenges with strength."" to en","Translated: ""I am a beacon of courage, facing challenges with strength."" to et"
,,,"""My life is a tapestry of love, woven with threads of kindness.""",positive ,,"Translated: ""My life is a tapestry of love, woven with threads of kindness."" to bg","Translated: ""My life is a tapestry of love, woven with threads of kindness."" to hr","Translated: ""My life is a tapestry of love, woven with threads of kindness."" to cs","Translated: ""My life is a tapestry of love, woven with threads of kindness."" to da","Translated: ""My life is a tapestry of love, woven with threads of kindness."" to nl","Translated: ""My life is a tapestry of love, woven with threads of kindness."" to en","Translated: ""My life is a tapestry of love, woven with threads of kindness."" to et"
,,,"""I am a vessel of peace, and I bring tranquility wherever I go.""",positive ,,"Translated: ""I am a vessel of peace, and I bring tranquility wherever I go."" to bg","Translated: ""I am a vessel of peace, and I bring tranquility wherever I go."" to hr","Translated: ""I am a vessel of peace, and I bring tranquility wherever I go."" to cs","Translated: ""I am a vessel of peace, and I bring tranquility wherever I go."" to da","Translated: ""I am a vessel of peace, and I bring tranquility wherever I go."" to nl","Translated: ""I am a vessel of peace, and I bring tranquility wherever I go."" to en","Translated: ""I am a vessel of peace, and I bring tranquility wherever I go."" to et"
,,,"""I am a magnet for positive energy, and it surrounds me.""",positive ,,"Translated: ""I am a magnet for positive energy, and it surrounds me."" to bg","Translated: ""I am a magnet for positive energy, and it surrounds me."" to hr","Translated: ""I am a magnet for positive energy, and it surrounds me."" to cs","Translated: ""I am a magnet for positive energy, and it surrounds me."" to da","Translated: ""I am a magnet for positive energy, and it surrounds me."" to nl","Translated: ""I am a magnet for positive energy, and it surrounds me."" to en","Translated: ""I am a magnet for positive energy, and it surrounds me."" to et"
,,,"""I am aligned with the energy of success, and I achieve greatness.""",positive ,,"Translated: ""I am aligned with the energy of success, and I achieve greatness."" to bg","Translated: ""I am aligned with the energy of success, and I achieve greatness."" to hr","Translated: ""I am aligned with the energy of success, and I achieve greatness."" to cs","Translated: ""I am aligned with the energy of success, and I achieve greatness."" to da","Translated: ""I am aligned with the energy of success, and I achieve greatness."" to nl","Translated: ""I am aligned with the energy of success, and I achieve greatness."" to en","Translated: ""I am aligned with the energy of success, and I achieve greatness."" to et"
,,,"""I am a source of inspiration, sparking creativity in others.""",positive ,,"Translated: ""I am a source of inspiration, sparking creativity in others."" to bg","Translated: ""I am a source of inspiration, sparking creativity in others."" to hr","Translated: ""I am a source of inspiration, sparking creativity in others."" to cs","Translated: ""I am a source of inspiration, sparking creativity in others."" to da","Translated: ""I am a source of inspiration, sparking creativity in others."" to nl","Translated: ""I am a source of inspiration, sparking creativity in others."" to en","Translated: ""I am a source of inspiration, sparking creativity in others."" to et"
,,,"""I am a magnet for joy, and I attract it in every moment.""",positive ,,"Translated: ""I am a magnet for joy, and I attract it in every moment."" to bg","Translated: ""I am a magnet for joy, and I attract it in every moment."" to hr","Translated: ""I am a magnet for joy, and I attract it in every moment."" to cs","Translated: ""I am a magnet for joy, and I attract it in every moment."" to da","Translated: ""I am a magnet for joy, and I attract it in every moment."" to nl","Translated: ""I am a magnet for joy, and I attract it in every moment."" to en","Translated: ""I am a magnet for joy, and I attract it in every moment."" to et"
,,,"""My life is a canvas, and I paint it with strokes of positivity.""",positive ,,"Translated: ""My life is a canvas, and I paint it with strokes of positivity."" to bg","Translated: ""My life is a canvas, and I paint it with strokes of positivity."" to hr","Translated: ""My life is a canvas, and I paint it with strokes of positivity."" to cs","Translated: ""My life is a canvas, and I paint it with strokes of positivity."" to da","Translated: ""My life is a canvas, and I paint it with strokes of positivity."" to nl","Translated: ""My life is a canvas, and I paint it with strokes of positivity."" to en","Translated: ""My life is a canvas, and I paint it with strokes of positivity."" to et"
,,,"""I am a beacon of gratitude, appreciating the beauty of life.""",positive ,,"Translated: ""I am a beacon of gratitude, appreciating the beauty of life."" to bg","Translated: ""I am a beacon of gratitude, appreciating the beauty of life."" to hr","Translated: ""I am a beacon of gratitude, appreciating the beauty of life."" to cs","Translated: ""I am a beacon of gratitude, appreciating the beauty of life."" to da","Translated: ""I am a beacon of gratitude, appreciating the beauty of life."" to nl","Translated: ""I am a beacon of gratitude, appreciating the beauty of life."" to en","Translated: ""I am a beacon of gratitude, appreciating the beauty of life."" to et"
,,,"""I am a creator of my destiny, shaping it with purpose and intent.""",positive ,,"Translated: ""I am a creator of my destiny, shaping it with purpose and intent."" to bg","Translated: ""I am a creator of my destiny, shaping it with purpose and intent."" to hr","Translated: ""I am a creator of my destiny, shaping it with purpose and intent."" to cs","Translated: ""I am a creator of my destiny, shaping it with purpose and intent."" to da","Translated: ""I am a creator of my destiny, shaping it with purpose and intent."" to nl","Translated: ""I am a creator of my destiny, shaping it with purpose and intent."" to en","Translated: ""I am a creator of my destiny, shaping it with purpose and intent."" to et"
,,,"""I am a vessel of love, and I share it freely with the world.""",positive ,,"Translated: ""I am a vessel of love, and I share it freely with the world."" to bg","Translated: ""I am a vessel of love, and I share it freely with the world."" to hr","Translated: ""I am a vessel of love, and I share it freely with the world."" to cs","Translated: ""I am a vessel of love, and I share it freely with the world."" to da","Translated: ""I am a vessel of love, and I share it freely with the world."" to nl","Translated: ""I am a vessel of love, and I share it freely with the world."" to en","Translated: ""I am a vessel of love, and I share it freely with the world."" to et"
,,,"""Every challenge I face is an opportunity for growth and learning.""",positive ,,"Translated: ""Every challenge I face is an opportunity for growth and learning."" to bg","Translated: ""Every challenge I face is an opportunity for growth and learning."" to hr","Translated: ""Every challenge I face is an opportunity for growth and learning."" to cs","Translated: ""Every challenge I face is an opportunity for growth and learning."" to da","Translated: ""Every challenge I face is an opportunity for growth and learning."" to nl","Translated: ""Every challenge I face is an opportunity for growth and learning."" to en","Translated: ""Every challenge I face is an opportunity for growth and learning."" to et"
,,,"""I am a magnet for success, and I attract it effortlessly.""",positive ,,"Translated: ""I am a magnet for success, and I attract it effortlessly."" to bg","Translated: ""I am a magnet for success, and I attract it effortlessly."" to hr","Translated: ""I am a magnet for success, and I attract it effortlessly."" to cs","Translated: ""I am a magnet for success, and I attract it effortlessly."" to da","Translated: ""I am a magnet for success, and I attract it effortlessly."" to nl","Translated: ""I am a magnet for success, and I attract it effortlessly."" to en","Translated: ""I am a magnet for success, and I attract it effortlessly."" to et"
,,,"""I am a source of inspiration, motivating others to achieve their dreams.""",positive ,,"Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to bg","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to hr","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to cs","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to da","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to nl","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to en","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to et"
,,,"""My life is a tapestry of positivity, woven with threads of optimism.""",positive ,,"Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to bg","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to hr","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to cs","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to da","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to nl","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to en","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to et"
,,,"""I am a vessel of love, kindness, and compassion.""",positive ,,"Translated: ""I am a vessel of love, kindness, and compassion."" to bg","Translated: ""I am a vessel of love, kindness, and compassion."" to hr","Translated: ""I am a vessel of love, kindness, and compassion."" to cs","Translated: ""I am a vessel of love, kindness, and compassion."" to da","Translated: ""I am a vessel of love, kindness, and compassion."" to nl","Translated: ""I am a vessel of love, kindness, and compassion."" to en","Translated: ""I am a vessel of love, kindness, and compassion."" to et"
,,,"""I am surrounded by an abundance of opportunities and possibilities.""",positive ,,"Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to bg","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to hr","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to cs","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to da","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to nl","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to en","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to et"
,,,"""I am a beacon of positivity, spreading joy wherever I go.""",positive ,,"Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to bg","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to hr","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to cs","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to da","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to nl","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to en","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to et"
,,,"""I trust in my abilities and confidently pursue my goals.""",positive ,,"Translated: ""I trust in my abilities and confidently pursue my goals."" to bg","Translated: ""I trust in my abilities and confidently pursue my goals."" to hr","Translated: ""I trust in my abilities and confidently pursue my goals."" to cs","Translated: ""I trust in my abilities and confidently pursue my goals."" to da","Translated: ""I trust in my abilities and confidently pursue my goals."" to nl","Translated: ""I trust in my abilities and confidently pursue my goals."" to en","Translated: ""I trust in my abilities and confidently pursue my goals."" to et"
,,,"""I am a magnet for success, and I welcome it into my life.""",positive ,,"Translated: ""I am a magnet for success, and I welcome it into my life."" to bg","Translated: ""I am a magnet for success, and I welcome it into my life."" to hr","Translated: ""I am a magnet for success, and I welcome it into my life."" to cs","Translated: ""I am a magnet for success, and I welcome it into my life."" to da","Translated: ""I am a magnet for success, and I welcome it into my life."" to nl","Translated: ""I am a magnet for success, and I welcome it into my life."" to en","Translated: ""I am a magnet for success, and I welcome it into my life."" to et"
,,,"""I am a source of inspiration, uplifting those around me.""",positive ,,"Translated: ""I am a source of inspiration, uplifting those around me."" to bg","Translated: ""I am a source of inspiration, uplifting those around me."" to hr","Translated: ""I am a source of inspiration, uplifting those around me."" to cs","Translated: ""I am a source of inspiration, uplifting those around me."" to da","Translated: ""I am a source of inspiration, uplifting those around me."" to nl","Translated: ""I am a source of inspiration, uplifting those around me."" to en","Translated: ""I am a source of inspiration, uplifting those around me."" to et"
,,,"""I am a creator of positive change, making a difference in the world.""",positive ,,"Translated: ""I am a creator of positive change, making a difference in the world."" to bg","Translated: ""I am a creator of positive change, making a difference in the world."" to hr","Translated: ""I am a creator of positive change, making a difference in the world."" to cs","Translated: ""I am a creator of positive change, making a difference in the world."" to da","Translated: ""I am a creator of positive change, making a difference in the world."" to nl","Translated: ""I am a creator of positive change, making a difference in the world."" to en","Translated: ""I am a creator of positive change, making a difference in the world."" to et"
,,,"""I am open to the abundance of the universe, and it flows to me.""",positive ,,"Translated: ""I am open to the abundance of the universe, and it flows to me."" to bg","Translated: ""I am open to the abundance of the universe, and it flows to me."" to hr","Translated: ""I am open to the abundance of the universe, and it flows to me."" to cs","Translated: ""I am open to the abundance of the universe, and it flows to me."" to da","Translated: ""I am open to the abundance of the universe, and it flows to me."" to nl","Translated: ""I am open to the abundance of the universe, and it flows to me."" to en","Translated: ""I am open to the abundance of the universe, and it flows to me."" to et"
,,,"""My life is filled with love, joy, and endless possibilities.""",positive ,,"Translated: ""My life is filled with love, joy, and endless possibilities."" to bg","Translated: ""My life is filled with love, joy, and endless possibilities."" to hr","Translated: ""My life is filled with love, joy, and endless possibilities."" to cs","Translated: ""My life is filled with love, joy, and endless possibilities."" to da","Translated: ""My life is filled with love, joy, and endless possibilities."" to nl","Translated: ""My life is filled with love, joy, and endless possibilities."" to en","Translated: ""My life is filled with love, joy, and endless possibilities."" to et"
,,,"""I am a beacon of resilience, overcoming challenges with grace.""",positive ,,"Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to bg","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to hr","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to cs","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to da","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to nl","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to en","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to et"
,,,"""I am a magnet for success, and I attract it effortlessly.""",positive ,,"Translated: ""I am a magnet for success, and I attract it effortlessly."" to bg","Translated: ""I am a magnet for success, and I attract it effortlessly."" to hr","Translated: ""I am a magnet for success, and I attract it effortlessly."" to cs","Translated: ""I am a magnet for success, and I attract it effortlessly."" to da","Translated: ""I am a magnet for success, and I attract it effortlessly."" to nl","Translated: ""I am a magnet for success, and I attract it effortlessly."" to en","Translated: ""I am a magnet for success, and I attract it effortlessly."" to et"
,,,"""I am a source of inspiration, motivating others to achieve their dreams.""",positive ,,"Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to bg","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to hr","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to cs","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to da","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to nl","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to en","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to et"
,,,"""My life is a tapestry of positivity, woven with threads of optimism.""",positive ,,"Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to bg","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to hr","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to cs","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to da","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to nl","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to en","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to et"
,,,"""I am a vessel of love, kindness, and compassion.""",positive ,,"Translated: ""I am a vessel of love, kindness, and compassion."" to bg","Translated: ""I am a vessel of love, kindness, and compassion."" to hr","Translated: ""I am a vessel of love, kindness, and compassion."" to cs","Translated: ""I am a vessel of love, kindness, and compassion."" to da","Translated: ""I am a vessel of love, kindness, and compassion."" to nl","Translated: ""I am a vessel of love, kindness, and compassion."" to en","Translated: ""I am a vessel of love, kindness, and compassion."" to et"
,,,"""I am surrounded by an abundance of opportunities and possibilities.""",positive ,,"Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to bg","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to hr","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to cs","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to da","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to nl","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to en","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to et"
,,,"""I am a beacon of positivity, spreading joy wherever I go.""",positive ,,"Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to bg","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to hr","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to cs","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to da","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to nl","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to en","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to et"
,,,"""I trust in my abilities and confidently pursue my goals.""",positive ,,"Translated: ""I trust in my abilities and confidently pursue my goals."" to bg","Translated: ""I trust in my abilities and confidently pursue my goals."" to hr","Translated: ""I trust in my abilities and confidently pursue my goals."" to cs","Translated: ""I trust in my abilities and confidently pursue my goals."" to da","Translated: ""I trust in my abilities and confidently pursue my goals."" to nl","Translated: ""I trust in my abilities and confidently pursue my goals."" to en","Translated: ""I trust in my abilities and confidently pursue my goals."" to et"
,,,"""I am a magnet for success, and I welcome it into my life.""",positive ,,"Translated: ""I am a magnet for success, and I welcome it into my life."" to bg","Translated: ""I am a magnet for success, and I welcome it into my life."" to hr","Translated: ""I am a magnet for success, and I welcome it into my life."" to cs","Translated: ""I am a magnet for success, and I welcome it into my life."" to da","Translated: ""I am a magnet for success, and I welcome it into my life."" to nl","Translated: ""I am a magnet for success, and I welcome it into my life."" to en","Translated: ""I am a magnet for success, and I welcome it into my life."" to et"
,,,"""I am a source of inspiration, uplifting those around me.""",positive ,,"Translated: ""I am a source of inspiration, uplifting those around me."" to bg","Translated: ""I am a source of inspiration, uplifting those around me."" to hr","Translated: ""I am a source of inspiration, uplifting those around me."" to cs","Translated: ""I am a source of inspiration, uplifting those around me."" to da","Translated: ""I am a source of inspiration, uplifting those around me."" to nl","Translated: ""I am a source of inspiration, uplifting those around me."" to en","Translated: ""I am a source of inspiration, uplifting those around me."" to et"
,,,"""I am a creator of positive change, making a difference in the world.""",positive ,,"Translated: ""I am a creator of positive change, making a difference in the world."" to bg","Translated: ""I am a creator of positive change, making a difference in the world."" to hr","Translated: ""I am a creator of positive change, making a difference in the world."" to cs","Translated: ""I am a creator of positive change, making a difference in the world."" to da","Translated: ""I am a creator of positive change, making a difference in the world."" to nl","Translated: ""I am a creator of positive change, making a difference in the world."" to en","Translated: ""I am a creator of positive change, making a difference in the world."" to et"
,,,"""I am open to the abundance of the universe, and it flows to me.""",positive ,,"Translated: ""I am open to the abundance of the universe, and it flows to me."" to bg","Translated: ""I am open to the abundance of the universe, and it flows to me."" to hr","Translated: ""I am open to the abundance of the universe, and it flows to me."" to cs","Translated: ""I am open to the abundance of the universe, and it flows to me."" to da","Translated: ""I am open to the abundance of the universe, and it flows to me."" to nl","Translated: ""I am open to the abundance of the universe, and it flows to me."" to en","Translated: ""I am open to the abundance of the universe, and it flows to me."" to et"
,,,"""My life is filled with love, joy, and endless possibilities.""",positive ,,"Translated: ""My life is filled with love, joy, and endless possibilities."" to bg","Translated: ""My life is filled with love, joy, and endless possibilities."" to hr","Translated: ""My life is filled with love, joy, and endless possibilities."" to cs","Translated: ""My life is filled with love, joy, and endless possibilities."" to da","Translated: ""My life is filled with love, joy, and endless possibilities."" to nl","Translated: ""My life is filled with love, joy, and endless possibilities."" to en","Translated: ""My life is filled with love, joy, and endless possibilities."" to et"
,,,"""I am a beacon of resilience, overcoming challenges with grace.""",positive ,,"Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to bg","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to hr","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to cs","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to da","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to nl","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to en","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to et"
,,,"""I am a magnet for success, and I attract it effortlessly.""",positive ,,"Translated: ""I am a magnet for success, and I attract it effortlessly."" to bg","Translated: ""I am a magnet for success, and I attract it effortlessly."" to hr","Translated: ""I am a magnet for success, and I attract it effortlessly."" to cs","Translated: ""I am a magnet for success, and I attract it effortlessly."" to da","Translated: ""I am a magnet for success, and I attract it effortlessly."" to nl","Translated: ""I am a magnet for success, and I attract it effortlessly."" to en","Translated: ""I am a magnet for success, and I attract it effortlessly."" to et"
,,,"""I am a source of inspiration, motivating others to achieve their dreams.""",positive ,,"Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to bg","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to hr","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to cs","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to da","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to nl","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to en","Translated: ""I am a source of inspiration, motivating others to achieve their dreams."" to et"
,,,"""My life is a tapestry of positivity, woven with threads of optimism.""",positive ,,"Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to bg","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to hr","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to cs","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to da","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to nl","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to en","Translated: ""My life is a tapestry of positivity, woven with threads of optimism."" to et"
,,,"""I am a vessel of love, kindness, and compassion.""",positive ,,"Translated: ""I am a vessel of love, kindness, and compassion."" to bg","Translated: ""I am a vessel of love, kindness, and compassion."" to hr","Translated: ""I am a vessel of love, kindness, and compassion."" to cs","Translated: ""I am a vessel of love, kindness, and compassion."" to da","Translated: ""I am a vessel of love, kindness, and compassion."" to nl","Translated: ""I am a vessel of love, kindness, and compassion."" to en","Translated: ""I am a vessel of love, kindness, and compassion."" to et"
,,,"""I am surrounded by an abundance of opportunities and possibilities.""",positive ,,"Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to bg","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to hr","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to cs","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to da","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to nl","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to en","Translated: ""I am surrounded by an abundance of opportunities and possibilities."" to et"
,,,"""I am a beacon of positivity, spreading joy wherever I go.""",positive ,,"Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to bg","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to hr","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to cs","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to da","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to nl","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to en","Translated: ""I am a beacon of positivity, spreading joy wherever I go."" to et"
,,,"""I trust in my abilities and confidently pursue my goals.""",positive ,,"Translated: ""I trust in my abilities and confidently pursue my goals."" to bg","Translated: ""I trust in my abilities and confidently pursue my goals."" to hr","Translated: ""I trust in my abilities and confidently pursue my goals."" to cs","Translated: ""I trust in my abilities and confidently pursue my goals."" to da","Translated: ""I trust in my abilities and confidently pursue my goals."" to nl","Translated: ""I trust in my abilities and confidently pursue my goals."" to en","Translated: ""I trust in my abilities and confidently pursue my goals."" to et"
,,,"""I am a source of inspiration, uplifting those around me.""",positive ,,"Translated: ""I am a source of inspiration, uplifting those around me."" to bg","Translated: ""I am a source of inspiration, uplifting those around me."" to hr","Translated: ""I am a source of inspiration, uplifting those around me."" to cs","Translated: ""I am a source of inspiration, uplifting those around me."" to da","Translated: ""I am a source of inspiration, uplifting those around me."" to nl","Translated: ""I am a source of inspiration, uplifting those around me."" to en","Translated: ""I am a source of inspiration, uplifting those around me."" to et"
,,,"""I am a creator of positive change, making a difference in the world.""",positive ,,"Translated: ""I am a creator of positive change, making a difference in the world."" to bg","Translated: ""I am a creator of positive change, making a difference in the world."" to hr","Translated: ""I am a creator of positive change, making a difference in the world."" to cs","Translated: ""I am a creator of positive change, making a difference in the world."" to da","Translated: ""I am a creator of positive change, making a difference in the world."" to nl","Translated: ""I am a creator of positive change, making a difference in the world."" to en","Translated: ""I am a creator of positive change, making a difference in the world."" to et"
,,,"""I am open to the abundance of the universe, and it flows to me.""",positive ,,"Translated: ""I am open to the abundance of the universe, and it flows to me."" to bg","Translated: ""I am open to the abundance of the universe, and it flows to me."" to hr","Translated: ""I am open to the abundance of the universe, and it flows to me."" to cs","Translated: ""I am open to the abundance of the universe, and it flows to me."" to da","Translated: ""I am open to the abundance of the universe, and it flows to me."" to nl","Translated: ""I am open to the abundance of the universe, and it flows to me."" to en","Translated: ""I am open to the abundance of the universe, and it flows to me."" to et"
,,,"""My life is filled with love, joy, and endless possibilities.""",positive ,,"Translated: ""My life is filled with love, joy, and endless possibilities."" to bg","Translated: ""My life is filled with love, joy, and endless possibilities."" to hr","Translated: ""My life is filled with love, joy, and endless possibilities."" to cs","Translated: ""My life is filled with love, joy, and endless possibilities."" to da","Translated: ""My life is filled with love, joy, and endless possibilities."" to nl","Translated: ""My life is filled with love, joy, and endless possibilities."" to en","Translated: ""My life is filled with love, joy, and endless possibilities."" to et"
,,,"""I am a beacon of resilience, overcoming challenges with grace.""",positive ,,"Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to bg","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to hr","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to cs","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to da","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to nl","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to en","Translated: ""I am a beacon of resilience, overcoming challenges with grace."" to et"
